10833,蔡边村总站	868,新康花园站 
10830,北城白云花园站	868,新康花园站 
10829,北城白云花园站	868,新康花园站 
10826,市桥文化中心站	868,新康花园站 
10819,市桥文化中心站	868,新康花园站 
9345,太和文化广场站1	868,新康花园站 
10806,运动员二四区站	868,新康花园站 
9445,师大暨大站1	868,新康花园站 
9324,永兴村路口站	868,新康花园站 
9251,南浦桥南沿沙路站	868,新康花园站 
9228,会江学校站	868,新康花园站 
9161,海中北路口站	868,新康花园站 
5578,江南工业区站	868,新康花园站 
5577,江南工业区站	868,新康花园站 
5576,江南大道中站	868,新康花园站 
5574,江南大道南总站	868,新康花园站 
5573,江南大道南站	868,新康花园站 
5567,江南村站	868,新康花园站 
5566,江南村站	868,新康花园站 
5565,江海大道中站	868,新康花园站 
5563,江海大道中(赤岗)总站	868,新康花园站 
5562,江高总站	868,新康花园站 
5561,江高站	868,新康花园站 
5560,江高站	868,新康花园站 
5559,江高新楼村总站	868,新康花园站 
5558,江高小塘总站	868,新康花园站 
5557,江高小塘站	868,新康花园站 
5556,江高南岗村总站	868,新康花园站 
5555,江高路口站	868,新康花园站 
5554,江高路口站	868,新康花园站 
5553,江丰路口站	868,新康花园站 
5552,江丰路口站	868,新康花园站 
5551,江都医院站	868,新康花园站 
5550,江都医院站	868,新康花园站 
5546,江村墟站	868,新康花园站 
5545,江村墟站	868,新康花园站 
5544,江村大桥北站	868,新康花园站 
5543,江村大桥北站	868,新康花园站 
5542,江贝村站	868,新康花园站 
5541,江贝村站	868,新康花园站 
5540,江贝村运动场站	868,新康花园站 
5539,江贝村运动场站	868,新康花园站 
5538,健乐医院站	868,新康花园站 
5537,健乐医院站	868,新康花园站 
5535,建设六马路站	868,新康花园站 
5534,建设六马路站	868,新康花园站 
5532,建设二马路站	868,新康花园站 
6381,瑶华街口站	868,新康花园站 
5531,建设大道中站	868,新康花园站 
5530,建设大道中站	868,新康花园站 
5529,建设大道站	868,新康花园站 
5528,建设大道站	868,新康花园站 
5527,尖彭路口站	868,新康花园站 
5525,尖彭路东站	868,新康花园站 
5523,嘉洲花园站	868,新康花园站 
5522,嘉洲花园站	868,新康花园站 
5521,嘉洲广场站	868,新康花园站 
5520,嘉洲广场站	868,新康花园站 
