5766,金洲北路站	805,谢村站 
8655,南云三路北站	805,谢村站 
3890,七十三中学站	805,谢村站 
10622,新扬村站	805,谢村站 
10620,三华村口站	805,谢村站 
10614,奇才新村站	805,谢村站 
10593,区防疫站	805,谢村站 
10582,望顶村站	805,谢村站 
10528,石角一队站	805,谢村站 
10520,颐养院站	805,谢村站 
10472,培正大道路口站	805,谢村站 
10466,白石站	805,谢村站 
10389,新庄村站	805,谢村站 
10380,经济贸易职业学校站	805,谢村站 
9453,岗顶站2	805,谢村站 
10369,南菱汽车城站	805,谢村站 
9585,石湖村东站	805,谢村站 
10348,盘古中路站	805,谢村站 
9163,凤西二路站	805,谢村站 
10335,横坑迳站	805,谢村站 
9098,铁路边站	805,谢村站 
9097,丽康居(教师村)站	805,谢村站 
10316,飞达厂站	805,谢村站 
10270,南云五路站	805,谢村站 
10172,东苑小区站2	805,谢村站 
10129,香雪八路中站	805,谢村站 
10083,太和路口站	805,谢村站 
10057,星岛环南路（星汗一路路口）站	805,谢村站 
6663,夏良路中站	805,谢村站 
6662,夏良中心公园站	805,谢村站 
3884,埔心村口站	805,谢村站 
3882,埔南路总站	805,谢村站 
3881,埔南路中站	805,谢村站 
3880,埔南路中站	805,谢村站 
3879,埔南路站	805,谢村站 
3878,埔南路站	805,谢村站 
3877,埔南路延长段中站	805,谢村站 
3876,埔南路延长段中站	805,谢村站 
3875,埔南路东站	805,谢村站 
3874,埔南路东站	805,谢村站 
3873,埔南路(翡翠绿洲)总站	805,谢村站 
9286,浮山大街口站	805,谢村站 
9145,长红西路站	805,谢村站 
9132,凤凰城路口站	805,谢村站 
8522,碧翠华庭	805,谢村站 
8516,马务联和西街站	805,谢村站 
8500,夏茅工业区站	805,谢村站 
8300,埔北路站	805,谢村站 
8297,沧联二路站	805,谢村站 
8288,广州植树公园总站	805,谢村站 
8088,南云二路中站	805,谢村站 
7416,李溪加油站	805,谢村站 
7397,中兴市场站	805,谢村站 
10243,洞庭路(碧翠华庭)	805,谢村站 
10226,天健装饰材料城站	805,谢村站 
10178,增南路芳村车管所站	805,谢村站 
10119,红旗路南站	805,谢村站 
11149,大朗北路口站	805,谢村站 
9747,北站路站	805,谢村站 
9924,粤溪村委站	805,谢村站 
6951,海布站	805,谢村站 
6935,马鞍山公园站	805,谢村站 
9542,艺苑南路口站	805,谢村站 
9162,地铁龙溪站	805,谢村站 
8555,太成路站	805,谢村站 
8347,土华路西站	805,谢村站 
7959,护林路(横沙村口)站	805,谢村站 
11137,二横路口站1	805,谢村站 
11134,杨梅岗村口站	805,谢村站 
7896,华峰寺总站	805,谢村站 
7421,永光村站	805,谢村站 
7365,东镜站	805,谢村站 
7251,海北大道站	805,谢村站 
7247,彩滨北路站	805,谢村站 
7230,良沙路站	805,谢村站 
6974,大润发站	805,谢村站 
6960,溢盈广场站	805,谢村站 
6950,溢盈广场站	805,谢村站 
6934,田美新村站	805,谢村站 
9451,上社站1	805,谢村站 
9446,上社站1	805,谢村站 
9328,安平庄站	805,谢村站 
8538,八斗村站	805,谢村站 
8490,软件路西站	805,谢村站 
8199,新南村站	805,谢村站 
8192,凤尾路站	805,谢村站 
7784,天生路站	805,谢村站 
7741,云溪路东站	805,谢村站 
10692,黄鹤路口站	805,谢村站 
10617,新扬村站	805,谢村站 
7558,潭村牌坊站	805,谢村站 
7551,潭村文化广场站	805,谢村站 
7546,彭加木公园站	805,谢村站 
7535,学山塘街南站	805,谢村站 
10604,三东市场站	805,谢村站 
7414,田寮庄站	805,谢村站 
7374,三凤村站	805,谢村站 
7372,天和站	805,谢村站 
7363,中心社区站	805,谢村站 
7329,新镇庄站	805,谢村站 
7315,花都一中站	805,谢村站 
7310,南洋庄站	805,谢村站 
7283,雅瑶医院站	805,谢村站 
7182,苏元庄东街口站	805,谢村站 
7173,矮岗村总站	805,谢村站 
7166,人和华成路东站	805,谢村站 
9941,东平北路站	805,谢村站 
7070,石井大道(工业园)	805,谢村站 
6781,红旗中心(博罗庄)站	805,谢村站 
6630,蓼江上梁站	805,谢村站 
5832,九龙二小九楼分校站	805,谢村站 
5831,九龙二小大坦分校站	805,谢村站 
5830,九龙二小大坦分校站	805,谢村站 
5829,九岭路站	805,谢村站 
5828,九岭路站	805,谢村站 
7393,三联路口站	805,谢村站 
7375,广州国际物流中心站	805,谢村站 
11139,永盛路口	805,谢村站 
7288,花都钟村站	805,谢村站 
7193,云城东路(云城南三路口)站	805,谢村站 
6984,花都狮岭五金龙头市场总站	805,谢村站 
6944,公安办证大厅站	805,谢村站 
6938,田美村站	805,谢村站 
9188,广惠高速路口站	805,谢村站 
9153,增南路芳村车管所站	805,谢村站 
10351,民容路口站	805,谢村站 
8553,太岗路中站	805,谢村站 
8524,大转弯夹板城	805,谢村站 
8503,十字路站	805,谢村站 
10234,逸景路口	805,谢村站 
8307,诚联公园站	805,谢村站 
8298,沧头桥站	805,谢村站 
8277,新桂路南站	805,谢村站 
10110,地铁文冲站总站	805,谢村站 
9724,江高路口站	805,谢村站 
7875,赵溪路口站	805,谢村站 
7648,琶洲大桥底站	805,谢村站 
7533,地铁永泰站总站	805,谢村站 
7190,南云东街站	805,谢村站 
8400,麦村村委站	805,谢村站 
8360,中南花园	805,谢村站 
11124,同和站	805,谢村站 
7646,东方二路站	805,谢村站 
7644,明月一路站	805,谢村站 
7615,西塱村委站	805,谢村站 
7584,茅岗路南站	805,谢村站 
7555,潭村综合市场站	805,谢村站 
7440,龙兴中路口站	805,谢村站 
7360,邦一工业园站	805,谢村站 
7351,合和新城站	805,谢村站 
7331,横潭路口站	805,谢村站 
7242,北太路柏塘村口站	805,谢村站 
7228,寮采村口站	805,谢村站 
7219,凤和村站	805,谢村站 
6634,叶边市场站	805,谢村站 
6604,金沙北路站	805,谢村站 
7176,西成路站	805,谢村站 
7164,人和聚贤街站	805,谢村站 
7162,鸦湖村委站	805,谢村站 
7156,鸦湖村委站	805,谢村站 
9834,太和岗路口站	805,谢村站 
7060,蚌湖桥北站	805,谢村站 
9830,东风西路站 2	805,谢村站 
9817,木摾水库站	805,谢村站 
6746,黎家塘村站	805,谢村站 
6738,高增大桥南站	805,谢村站 
6734,龙塘路东站	805,谢村站 
6729,白沙村口站	805,谢村站 
6722,郭塘小学站	805,谢村站 
6720,郭塘村尾站	805,谢村站 
6714,石南路口站	805,谢村站 
6688,夏良中心公园站	805,谢村站 
6685,南村中路站	805,谢村站 
6659,南村中路站	805,谢村站 
6626,杨山村委站	805,谢村站 
6625,鹤岗村站	805,谢村站 
6616,蓼江村北站	805,谢村站 
6614,蓼江小学站	805,谢村站 
6590,罗溪路站	805,谢村站 
