11789,深沙村站	2747,丰乐路站 
11786,同乐村站	2747,丰乐路站 
11781,潭山村站	2747,丰乐路站 
11779,西山村站	2747,丰乐路站 
11778,应塘坊站	2747,丰乐路站 
11777,化龙公园站	2747,丰乐路站 
11775,颐养院站	2747,丰乐路站 
11756,东沙村站	2747,丰乐路站 
11755,海滨大厦站	2747,丰乐路站 
20017,体育中心	2747,丰乐路站 
20073,杨箕	2747,丰乐路站 
7061,镇湖村委站	2747,丰乐路站 
20019,体育西路	2747,丰乐路站 
56,纸厂总站①	2747,丰乐路站 
20006,东山口	2747,丰乐路站 
17,庄埔路口站	2747,丰乐路站 
5,竹料总站②	2747,丰乐路站 
20094,烈士陵园	2747,丰乐路站 
20024,农讲所	2747,丰乐路站 
1570,镇龙邮局站	2747,丰乐路站 
20022,公园前	2747,丰乐路站 
20121,西门口	2747,丰乐路站 
193,珠江村站	2747,丰乐路站 
192,珠江村站	2747,丰乐路站 
20140,黄沙	2747,丰乐路站 
20131,长寿路	2747,丰乐路站 
20132,陈家祠	2747,丰乐路站 
20113,芳村	2747,丰乐路站 
174,珠村站	2747,丰乐路站 
20111,花地湾	2747,丰乐路站 
2763,枫下二社站	2747,丰乐路站 
2757,风正街站	2747,丰乐路站 
20039,坑口	2747,丰乐路站 
20118,西朗	2747,丰乐路站 
12842,石基二中	2747,丰乐路站 
12843,石基二中	2747,丰乐路站 
12845,石基二中	2747,丰乐路站 
12846,石基二中	2747,丰乐路站 
12847,石基二中	2747,丰乐路站 
12544,富豪山庄站	2747,丰乐路站 
20080,永泰	2747,丰乐路站 
20034,同和	2747,丰乐路站 
20013,京溪南方医院	2747,丰乐路站 
20078,梅花园	2747,丰乐路站 
20095,燕塘	2747,丰乐路站 
12457,北海村水果批发市场	2747,丰乐路站 
11754,长坦村口站	2747,丰乐路站 
11753,长坦总站	2747,丰乐路站 
11752,海傍桥站	2747,丰乐路站 
11751,北斗渡口(榄灵路)站	2747,丰乐路站 
11744,西村工业区站	2747,丰乐路站 
11742,古东牌坊站	2747,丰乐路站 
11735,大刀沙村委站	2747,丰乐路站 
20029,华师	2747,丰乐路站 
20056,岗顶	2747,丰乐路站 
20105,石牌桥	2747,丰乐路站 
20020,体育西路	2747,丰乐路站 
20097,珠江新城	2747,丰乐路站 
20123,赤岗塔	2747,丰乐路站 
20053,客村	2747,丰乐路站 
20041,大塘	2747,丰乐路站 
20086,沥滘	2747,丰乐路站 
20033,厦滘	2747,丰乐路站 
11718,大生村委站	2747,丰乐路站 
11717,合沙村站	2747,丰乐路站 
11716,张松村桥站	2747,丰乐路站 
11715,张松工业区站	2747,丰乐路站 
11714,飞鹰厂站	2747,丰乐路站 
11712,榄核成校站	2747,丰乐路站 
11710,顺河路口站	2747,丰乐路站 
11709,墩塘工业区站	2747,丰乐路站 
11708,大简中桥站	2747,丰乐路站 
11707,马克路口站	2747,丰乐路站 
20046,大石	2747,丰乐路站 
11702,甘岗村站	2747,丰乐路站 
20081,汉溪长隆	2747,丰乐路站 
20058,市桥	2747,丰乐路站 
20100,番禺广场	2747,丰乐路站 
20037,嘉禾望岗	2747,丰乐路站 
20141,黄边	2747,丰乐路站 
20083,江夏	2747,丰乐路站 
20115,萧岗	2747,丰乐路站 
20103,白云文化广场	2747,丰乐路站 
20101,白云公园	2747,丰乐路站 
20134,飞翔公园	2747,丰乐路站 
20003,三元里	2747,丰乐路站 
20062,广州火车站	2747,丰乐路站 
20125,越秀公园	2747,丰乐路站 
3548,明星村委站	2747,丰乐路站 
3546,明星村口站	2747,丰乐路站 
3544,明泉街站	2747,丰乐路站 
20110,纪念堂	2747,丰乐路站 
